EMPLOYEE #,satisfaction_level,last_evaluation
2679,0.11,0.84
2684,0.81,0.93
2692,0.09,0.96
2693,0.11,0.9
2699,0.81,0.95
2701,0.1,0.97
2727,0.74,0.89
49502,0.09,0.78
53338,0.82,0.81
2748,0.1,0.98
54165,0.27,0.56
2753,0.83,0.92
2766,0.1,0.93
2767,0.38,0.47
2770,0.4,0.56
2771,0.11,0.83
2773,0.11,0.79
2777,0.82,0.91
2782,0.36,0.48
27617,0.4,0.46
2784,0.87,0.84
2786,0.41,0.49
55195,0.11,0.91
2807,0.1,0.93
2821,0.38,0.51
55937,0.39,0.55
2831,0.4,0.52
56819,0.45,0.48
56864,0.74,0.84
2841,0.45,0.55
2847,0.12,1
57006,0.1,0.77
2880,0.37,0.55
2881,0.89,0.87
2882,0.45,0.47
57209,0.37,0.46
2896,0.11,0.81
2899,0.41,0.48
2901,0.1,0.94
2912,0.1,0.93
2916,0.11,0.95
2921,0.4,0.54
2923,0.41,0.49
2924,0.1,0.81
58161,0.73,0.86
2932,0.43,0.47
2933,0.37,0.46
2940,0.11,0.94
2944,0.4,0.46
2945,0.41,0.54
2949,0.82,0.84
2972,0.61,0.47
58798,0.11,0.91
2988,0.37,0.45
2990,0.41,0.52
58972,0.37,0.52
59323,0.88,0.99
3010,0.1,0.85
3011,0.44,0.48
3013,0.38,0.57
59644,0.11,0.85
3022,0.09,0.98
3024,0.45,0.52
59872,0.1,0.81
3042,0.45,0.47
3047,0.77,0.87
3048,0.44,0.51
3064,0.39,0.5
3069,0.1,0.91
3091,0.09,0.89
3093,0.37,0.47
60841,0.9,1
3096,0.41,0.56
3100,0.37,0.52
3101,0.1,0.86
61868,0.81,1
3120,0.11,0.8
3122,0.11,0.84
3132,0.4,0.46
3137,0.09,0.8
64897,0.48,0.93
3150,,0.91
3159,0.43,0.57
3160,0.33,0.88
3165,0.41,0.57
65495,0.41,0.55
3179,0.37,0.54
3185,0.31,0.62
3191,0.09,0.91
66022,0.1,0.87
3195,0.76,0.9
3204,0.41,0.54
3205,0.72,0.96
66592,0.4,0.5
3217,0.91,0.87
68266,0.1,0.83
3233,0.4,0.56
3234,0.82,0.86
3238,0.1,0.82
3240,0.37,0.45
68351,0.36,0.51
3245,0.39,0.48
3246,0.36,0.57
68379,0.86,0.84
3249,0.73,0.99
3250,0.56,
69294,0.44,0.56
3259,0.31,0.56
3260,0.77,0.93
3262,0.44,0.45
40488,0.38,0.46
3288,0.45,0.48
3289,0.38,0.51
3297,0.36,0.48
3305,0.75,0.9
3306,0.1,0.93
3309,0.1,0.97
3311,0.45,0.5
48921,0.42,0.57
99746,0.78,1
73366,0.45,0.55
73530,0.84,1
3332,0.11,0.93
3344,0.42,0.56
3347,0.45,0.46
3350,0.46,0.57
3354,0.09,0.79
3369,0.87,0.83
3381,0.1,0.87
3396,0.91,1
74142,0.76,0.92
3405,,1
3406,0.92,0.93
74582,0.76,0.87
3422,0.47,0.5
3425,0.73,0.99
75664,0.09,0.94
3461,0.91,0.92
76341,0.82,0.98
3465,0.28,0.45
77736,0.84,0.99
3482,0.45,0.53
3484,0.45,0.54
3502,0.91,0.97
78076,0.42,0.48
3506,0.82,1
3517,0.11,0.9
3518,0.42,0.53
3521,0.82,0.85
3530,0.09,0.96
3531,0.1,0.94
3535,0.86,1
3536,0.4,0.46
3546,0.45,0.46
3548,0.42,0.51
3550,0.74,0.92
78130,,0.6
3569,0.37,0.45
3573,0.41,0.52
3574,0.89,0.65
3575,0.41,0.57
3588,0.44,0.51
3596,0.87,0.84
3597,0.1,0.84
3598,0.41,0.47
12625,0.11,0.85
79881,0.43,0.53
3615,0.77,0.9
3623,0.41,0.52
3633,0.41,0.48
3634,0.36,0.78
3635,0.77,
3636,0.81,0.98
3643,0.39,0.54
3654,0.09,0.94
3655,0.44,0.46
3658,0.1,0.84
3664,0.36,0.48
3665,0.81,0.92
3667,0.81,0.9
3669,0.85,0.98
3686,0.1,0.87
3694,0.37,0.54
3697,0.09,0.97
3699,0.44,0.53
3700,0.86,0.93
3706,0.77,1
3707,0.41,0.48
3719,0.4,0.48
3722,0.43,0.49
81317,0.43,0.5
82607,0.8,0.53
3736,0.8,0.85
3743,0.82,0.98
3745,0.37,0.54
3747,0.37,0.48
3754,0.09,0.95
3755,,0.92
3771,0.41,0.52
3788,0.1,0.85
83066,0.44,0.53
3799,0.89,0.85
3807,0.42,0.56
3813,0.87,1
3826,0.45,0.57
3832,0.11,0.87
3857,0.09,0.79
3860,0.76,0.83
3868,0.11,0.96
3874,0.37,0.49
3876,0.1,0.79
3877,0.77,0.87
3879,0.42,0.54
3888,0.38,0.52
20539,0.32,0.95
3897,0.38,0.49
83745,0.19,1
3914,0.1,0.83
3916,0.76,0.88
3918,0.53,0.56
3921,0.39,0.51
3924,0.11,0.83
84739,0.1,0.94
3927,0.84,1
3930,0.82,0.99
3945,0.1,0.82
3949,0.59,0.49
3959,0.44,0.48
85378,0.89,0.95
3968,0.91,0.84
3969,0.66,0.57
3972,0.11,0.87
3976,0.43,0.51
3978,0.78,0.83
3982,0.11,0.97
85447,0.83,0.98
86971,0.39,0.54
3996,0.38,0.55
86978,0.37,0.57
42623,0.44,0.48
4000,0.53,0.85
4011,0.09,0.96
4013,0.11,0.89
4027,0.83,0.96
4033,0.88,1
4035,0.1,0.89
4036,0.09,0.86
4039,0.44,0.54
4040,0.39,0.51
87886,0.87,0.94
4043,0.74,0.99
4047,0.1,0.95
4050,0.74,0.82
4056,0.75,0.99
4059,0.41,0.56
4064,0.41,0.45
4072,0.09,0.9
4081,0.09,0.8
88150,0.39,0.57
4088,0.4,0.56
10090,0.37,0.54
4100,0.1,0.84
4103,0.43,0.51
4112,0.75,0.85
4113,0.37,0.56
88904,0.11,0.85
4121,0.45,0.45
4122,0.87,1
4129,0.11,0.94
4133,0.45,0.54
89200,0.81,0.87
4146,0.77,0.91
4150,0.89,
4151,0.43,0.49
4156,0.78,1
89790,0.37,0.47
4162,0.37,0.5
4163,0.85,0.82
4164,0.41,0.47
91196,0.11,0.96
91780,0.75,0.99
4175,0.82,0.85
4176,0.79,1
4179,0.43,0.53
2510,0.1,0.9
4184,0.46,0.48
4190,0.43,0.57
4192,0.43,0.55
4200,0.11,0.8
4201,0.09,0.86
4202,0.37,0.53
4206,0.4,0.57
4208,0.1,0.77
4211,0.41,0.53
4214,0.79,0.58
4218,0.11,0.79
4228,0.1,0.97
4231,0.44,0.51
4235,0.25,0.46
4238,0.44,0.52
32052,0.73,1
92981,0.75,0.97
4253,0.36,0.47
4256,0.37,0.49
4264,0.39,0.49
93517,0.48,0.78
4271,0.57,0.72
13127,0.9,0.96
4277,0.39,0.55
4286,0.44,0.51
4287,0.81,0.88
4295,0.74,0.87
4296,0.44,0.56
4300,0.41,0.56
93940,0.4,0.51
4318,0.46,0.57
4319,0.8,0.83
4330,0.87,0.9
4333,0.39,0.54
4346,0.38,0.55
4356,0.66,0.67
4357,0.1,0.8
4364,0.37,0.54
4368,0.1,0.77
4383,0.09,0.87
94048,0.86,0.84
4405,0.11,0.9
4406,0.37,0.46
94339,0.11,0.92
4417,0.77,0.98
4427,0.84,0.94
4431,0.1,0.84
38010,0.83,0.9
4450,0.11,0.79
4451,0.86,0.92
97153,0.38,0.56
38135,0.11,0.88
4461,0.45,0.49
4462,0.1,0.85
99332,0.09,0.95
4473,0.39,0.53
4475,0.37,0.47
4477,0.81,0.97
4478,0.09,0.9
4492,0.1,0.88
4494,0.39,0.49
4511,0.83,0.95
4515,0.45,0.57
4521,0.43,0.51
4534,0.8,0.75
4546,0.1,0.86
4552,0.1,0.55
4568,0.36,0.52
4573,0.38,0.5
4587,0.78,0.98
4588,0.44,0.49
1707,0.41,0.46
2823,0.72,0.85
4595,0.46,0.54
4598,0.1,0.9
4601,0.34,0.67
5413,0.11,0.89
4614,0.38,0.56
4615,0.82,0.92
4617,0.39,0.57
4624,0.44,0.53
4625,0.43,0.52
4633,0.84,0.83
4645,0.43,0.48
4646,0.37,0.52
4647,0.74,0.97
4651,0.73,0.97
5556,0.37,0.47
4656,0.58,0.62
4657,0.4,0.54
5572,0.51,0.83
4671,0.46,0.5
95594,0.45,0.54
4683,0.46,0.5
4686,0.39,0.45
4700,0.09,0.88
4701,0.09,0.77
7868,0.37,0.51
4710,0.1,0.89
4721,0.77,1
4723,0.79,0.86
4736,0.43,0.55
4738,0.38,0.53
4746,0.77,0.91
4754,0.44,0.5
8821,0.39,0.46
4758,0.78,0.89
10101,0.1,0.79
4765,0.1,0.77
10635,0.75,0.85
4767,0.46,0.62
4775,0.91,0.97
4806,0.1,0.92
4822,0.72,0.6
4823,0.11,0.95
4824,0.11,0.94
4837,0.46,0.57
4838,0.37,0.46
4839,0.46,0.5
4840,0.43,0.57
4841,0.11,0.82
4845,0.73,0.89
4849,0.43,0.47
4853,0.86,1
4868,0.1,0.83
4871,0.4,0.49
4882,0.11,0.87
4884,0.86,0.98
4885,0.42,1
4889,0.79,0.84
4908,0.1,0.96
4916,0.09,0.92
4928,0.09,0.82
4934,0.87,1
14116,0.36,0.49
4945,0.42,0.75
4958,0.84,0.86
4959,0.1,0.83
4969,0.78,0.71
4974,0.35,0.99
4979,0.1,0.81
4980,0.11,0.8
4981,0.43,0.48
16102,0.38,0.45
4996,0.46,0.54
5008,0.89,0.82
5014,0.45,0.5
5015,0.44,0.53
5017,0.74,0.54
5019,0.45,0.54
5035,0.79,0.93
5044,0.79,0.91
5049,0.11,0.87
5052,0.42,0.48
5055,0.64,0.9
5060,0.4,0.55
5063,0.84,0.98
5066,0.73,0.92
5077,0.4,0.51
5080,0.36,0.45
5085,0.43,0.47
5089,0.11,0.78
5091,0.91,1
5092,0.8,1
5096,0.42,0.49
17912,0.31,0.87
5103,0.44,0.47
18531,0.38,0.54
5112,0.45,0.56
5136,0.43,0.46
5138,0.45,0.46
5143,0.43,0.57
5147,0.43,0.49
5149,0.09,0.83
5152,0.43,0.47
5167,0.79,0.94
5169,0.85,0.58
5177,0.38,0.45
19661,0.11,0.92
20715,0.83,0.99
5182,0.81,0.91
5183,0.42,0.56
99770,0.11,0.87
24446,0.11,0.85
24553,0.1,0.89
5215,0.5,0.54
5218,0.44,0.49
5225,0.11,0.9
5227,0.39,0.52
5230,0.11,0.78
5235,0.36,0.5
5237,0.43,0.51
5241,0.4,0.5
5256,0.86,0.84
5258,0.38,0.49
5259,0.46,0.45
5263,0.37,0.57
5265,0.43,0.52
5275,0.66,0.93
24876,0.37,0.48
5279,0.77,0.92
5284,0.38,0.55
5292,0.39,0.54
5297,0.41,0.55
5301,0.1,0.9
5303,0.09,0.93
26638,0.41,0.47
5307,0.39,0.46
5312,0.83,0.99
5313,0.09,0.87
5317,0.75,0.81
5321,0.44,0.54
5337,0.1,0.84
5343,0.42,0.46
5362,0.1,0.83
5384,0.1,0.86
5389,0.31,0.77
5397,0.42,0.54
5398,0.38,0.5
27094,0.39,0.57
5404,0.1,0.97
27277,0.11,0.93
5416,0.1,0.92
5417,0.11,0.9
5439,0.44,0.65
5458,0.91,0.96
27966,0.72,1
30077,0.36,0.46
5471,0.44,0.57
5477,0.85,0.99
5483,0.78,0.93
5489,0.39,0.46
30753,0.78,0.81
5510,0.1,0.92
5513,0.23,0.99
31809,0.11,0.87
5538,0.9,0.83
13245,0.91,0.89
5542,0.11,0.79
5543,0.43,0.54
5551,0.45,0.49
32681,0.11,0.91
34840,0.11,0.93
5567,0.43,0.5
35277,0.91,0.97
5577,0.43,0.55
5580,0.85,0.82
5593,0.1,0.77
5595,0.81,0.95
5609,0.36,0.62
5621,0.45,0.54
36819,0.86,1
5636,0.71,1
5641,0.11,0.97
5642,0.84,0.93
5649,0.09,0.97
5650,0.38,0.49
5658,0.15,0.55
37263,0.1,0.92
5662,0.8,0.97
5666,0.84,0.97
5668,0.11,0.87
5670,0.89,0.79
5681,0.45,0.51
37430,0.11,0.93
5700,0.74,0.93
5707,0.41,0.5
5713,0.44,0.53
5724,0.37,0.56
27848,0.11,0.86
5734,0.1,0.93
5737,0.7,0.74
38007,0.59,1
5747,0.38,0.53
5754,0.72,0.95
5757,0.73,1
39770,0.39,0.48
5771,0.89,0.82
5772,0.89,1
39878,0.11,0.78
5783,0.43,0.56
5800,0.09,0.93
5801,0.81,0.9
5802,0.37,0.53
5803,0.36,0.56
41254,0.11,0.85
5832,0.1,0.85
5833,0.66,0.47
5842,0.39,0.47
5844,0.44,0.51
5847,0.1,0.84
5851,0.79,0.94
5863,0.1,0.81
5867,0.54,0.94
5868,0.37,0.47
5870,0.37,0.57
5884,0.82,0.89
5895,0.45,0.52
5900,0.79,0.9
5902,0.42,0.56
5907,0.1,0.85
5912,0.11,0.78
5913,0.74,1
5914,0.1,0.93
5922,0.79,1
5925,0.43,0.48
5926,0.41,0.47
5929,0.39,0.55
5947,0.1,0.94
5958,0.82,0.85
5961,0.41,0.46
41844,0.42,0.56
5985,0.74,0.88
5989,0.38,0.57
6005,0.39,0.56
6016,0.87,0.94
6020,0.1,0.9
6025,0.78,1
6039,0.14,0.73
6061,0.11,0.94
6067,0.91,0.94
6070,0.49,0.63
6081,0.38,0.47
42679,0.82,0.97
6090,0.38,0.88
6094,0.89,1
6103,0.11,0.79
6104,0.37,0.51
6105,0.38,0.5
6115,0.78,0.87
6142,0.41,0.51
6159,0.41,0.51
6160,0.11,0.83
6162,0.11,0.79
6163,0.43,0.57
6173,0.75,0.86
43615,0.74,
6185,0.85,0.85
6187,0.73,0.92
6199,0.1,0.79
6210,0.44,0.56
6211,0.3,0.56
6212,0.11,0.77
6213,0.84,0.83
6229,0.78,0.94
6236,0.43,0.53
6242,0.36,0.55
6243,0.43,0.47
6246,0.45,0.46
43782,0.76,0.93
6250,0.1,0.78
6261,0.09,0.86
6275,0.92,1
45840,0.92,0.9
6284,0.79,0.98
6290,0.43,0.51
6294,0.8,0.95
6295,0.44,0.49
6300,0.89,0.87
6312,0.48,0.88
6317,0.11,0.82
6318,0.38,0.55
6319,0.11,0.85
6322,0.82,0.86
6323,0.37,0.45
46052,0.4,0.48
6328,0.43,0.47
6332,0.44,0.5
46303,0.42,0.56
6342,0.11,0.8
6343,0.78,0.87
6351,0.46,0.86
6355,0.77,0.91
6360,0.83,0.82
6370,0.32,0.58
6379,0.9,0.92
6381,0.42,0.52
6383,0.1,0.96
46375,0.1,0.91
6402,0.44,0.49
6407,0.1,0.95
47485,0.11,0.8
6415,0.1,0.89
6417,0.39,0.47
6421,0.92,0.92
6429,0.43,0.56
6444,0.11,0.89
6446,0.81,1
6448,0.11,0.85
6452,0.87,1
6454,0.37,0.46
6456,0.39,0.56
6465,0.61,0.86
6476,0.11,0.95
6479,0.09,0.9
47862,0.36,0.52
47885,0.09,0.94
6499,0.41,0.71
6511,0.4,0.46
6512,0.1,0.91
6534,0.46,0.53
6540,0.39,0.57
6544,0.41,0.5
48256,0.1,0.94
6559,0.39,0.51
6564,0.73,0.83
6576,0.41,0.45
6577,0.37,0.51
6590,0.38,0.5
6604,0.8,0.63
6607,0.09,0.85
6608,0.85,0.92
6617,0.42,0.54
48293,0.41,0.48
6637,0.38,0.46
6638,0.72,1
6642,0.11,0.74
6646,0.37,0.47
6647,0.1,0.81
6648,0.36,0.54
6658,0.92,0.94
6662,0.11,0.87
6665,0.39,0.56
6668,0.11,0.95
6673,0.45,0.45
48335,0.44,0.55
6676,0.85,0.97
6686,0.43,0.52
6706,0.75,0.86
6707,0.11,0.55
6716,0.36,0.5
6721,0.1,0.79
6723,0.74,0.89
6737,0.4,0.46
6750,0.09,0.77
6753,0.76,0.91
6768,0.45,0.57
48586,0.84,0.88
6773,0.38,0.45
6776,0.38,0.46
6778,0.38,0.54
6779,0.86,0.94
6780,0.37,0.46
6785,0.37,0.5
6792,0.87,1
6807,0.11,0.85
48835,0.42,0.5
49083,0.43,0.48
6824,0.09,0.8
6827,0.54,0.56
6832,0.4,0.47
50204,0.36,0.52
6835,0.87,0.9
50971,0.75,0.88
51144,0.43,0.53
6843,0.43,0.47
31557,0.1,0.87
52732,0.11,0.78
6854,0.44,0.53
56373,0.39,0.48
6862,0.4,0.55
56767,0.92,0.87
58910,0.36,0.47
59058,0.86,0.95
6875,0.74,0.87
6878,0.8,0.95
6884,0.36,0.48
6885,0.42,0.57
6896,0.42,0.47
6898,0.4,0.45
6902,0.46,0.53
60825,0.09,0.9
6927,0.88,0.89
6933,0.1,0.82
6934,0.1,0.97
6939,0.11,0.93
6941,0.84,0.88
6948,0.42,0.56
6955,0.1,0.86
6958,0.1,0.95
6959,0.46,0.54
61720,0.09,0.97
61979,0.89,1
6967,0.82,1
6975,0.11,0.89
6992,0.81,0.84
6993,0.81,0.94
6998,0.77,1
7006,0.63,0.94
35810,0.4,0.57
7012,0.86,1
7017,0.37,0.49
7021,0.44,0.5
62769,0.74,0.89
7028,0.79,1
7031,0.09,0.92
7035,0.37,0.48
63394,0.09,0.78
7060,0.09,0.84
7066,0.1,0.8
63737,0.45,0.56
7074,0.4,0.51
7075,0.31,0.95
7079,0.7,0.93
7086,0.36,0.48
7089,0.34,0.97
7090,0.87,0.83
64689,0.11,0.91
7101,0.47,0.81
7108,0.43,0.52
65273,0.43,0.47
7115,0.45,0.57
7117,0.74,1
7120,0.1,0.89
7123,0.78,0.87
7124,0.9,0.95
7128,0.53,0.95
7129,0.45,0.54
7130,0.86,0.83
7131,0.74,0.89
7135,0.09,0.79
7137,0.8,0.95
7141,0.46,0.53
7144,0.86,0.95
7160,0.86,0.95
7166,0.9,0.91
7183,0.87,0.88
79966,0.83,0.94
93715,0.77,0.83
7194,0.77,1
7195,0.9,0.86
65689,0.73,0.92
7207,0.91,0.9
7210,0.36,0.53
65790,0.38,0.54
7226,0.44,0.46
7234,0.73,1
65802,0.89,0.91
7241,0.11,0.77
7242,0.1,0.77
66502,0.37,0.46
7264,0.38,0.48
7265,0.42,0.48
7267,0.44,0.46
7281,0.11,0.83
7286,0.09,0.97
7295,0.43,0.47
99106,0.38,0.52
7303,0.11,0.89
7309,0.37,0.49
7316,0.44,0.57
7323,0.72,0.82
7327,0.1,0.91
7330,0.73,0.86
7335,0.09,0.82
7339,0.44,0.46
7341,0.09,0.82
7345,0.1,0.87
7348,0.11,0.86
7352,0.42,0.46
68128,0.09,0.85
7362,0.72,0.88
68437,0.75,0.97
7368,0.44,0.5
7382,0.11,0.91
7385,0.38,0.47
69297,0.39,0.57
69970,0.1,0.9
7402,0.43,0.52
7406,0.39,0.57
7415,0.88,0.87
7417,0.1,0.85
7419,0.1,0.89
7422,0.11,0.93
71411,0.37,0.47
7441,0.37,0.48
7442,0.77,0.87
7447,0.91,0.94
7449,0.46,0.51
7452,0.11,0.87
7455,0.86,0.91
7456,0.87,0.88
7463,0.09,0.92
7473,0.42,0.46
7477,0.82,0.83
7479,0.46,0.48
71855,0.88,1
7487,0.1,0.91
73164,0.43,0.45
7490,0.37,0.49
7491,0.8,0.95
7503,0.83,0.95
7504,0.39,0.57
7507,0.77,0.92
7518,0.43,0.46
7519,0.79,0.96
7527,0.39,0.55
7529,0.1,0.88
7531,0.39,0.53
7532,0.11,0.89
7534,0.4,0.51
7535,0.42,0.52
7552,0.57,0.85
7555,0.11,0.95
73515,0.36,0.73
7594,0.11,0.94
7595,0.35,0.8
1357,0.78,0.99
7600,0.11,0.93
7613,0.1,0.96
74221,0.42,0.54
74837,0.43,0.5
7616,0.79,0.84
7617,0.45,0.45
7623,0.09,0.91
7627,0.11,0.91
7631,0.45,0.49
7635,0.11,0.91
7640,0.09,0.8
7648,0.78,0.71
7651,0.38,0.5
75075,0.82,0.82
7662,0.85,0.89
7663,0.45,0.46
7664,0.77,0.89
76275,0.39,0.5
77128,0.91,0.9
7686,0.11,0.77
7705,0.46,0.45
7708,0.43,0.49
7711,0.11,0.96
7722,0.1,0.93
77185,0.09,0.8
7727,0.36,0.51
7735,0.11,0.89
77285,0.09,0.77
7749,0.44,0.51
7750,0.73,0.97
7759,0.21,0.58
7760,0.8,0.85
78952,0.37,0.55
7768,0.79,0.96
7773,0.09,0.8
7775,0.75,0.74
7777,0.83,1
7781,0.1,0.77
7787,0.44,0.55
7804,0.42,0.97
7805,0.43,0.56
7806,0.09,0.84
7821,0.44,0.53
7840,0.81,0.98
7855,0.1,0.79
7856,0.1,0.93
7858,0.11,0.83
79306,0.09,0.77
80192,0.75,0.83
7886,0.38,0.55
7890,0.09,0.87
80214,0.74,0.97
7897,0.44,0.56
7903,0.76,0.95
7906,0.42,0.56
7914,0.75,1
7915,0.36,0.52
7916,0.75,0.93
7935,0.4,0.46
7938,0.75,0.89
7942,0.09,0.84
7943,0.39,0.46
7948,0.4,0.48
7949,0.39,0.54
7955,0.1,0.85
7956,0.42,0.55
7963,0.37,0.52
7964,0.11,0.98
7965,0.09,0.88
7973,0.41,0.54
7978,0.42,0.49
7984,0.4,0.49
80767,0.36,0.47
7991,0.74,0.9
80793,0.66,1
7999,0.38,0.47
80916,0.43,0.51
8003,0.43,0.53
8007,0.1,0.85
81755,0.82,0.85
8013,0.1,0.77
2480,0.1,0.93
8025,0.43,0.49
8028,0.09,0.94
8032,0.41,0.54
8037,0.1,0.82
84506,0.88,0.92
8040,0.43,0.57
8046,0.42,0.5
8052,0.85,1
8054,0.38,0.49
8057,0.39,0.47
84626,0.41,0.48
8064,0.88,0.92
8076,0.78,0.96
8081,0.45,0.48
8090,0.09,0.95
8093,0.44,0.56
8099,0.11,0.84
8100,0.36,0.51
8103,0.86,0.98
8108,0.1,0.92
84657,0.45,0.53
8111,0.42,0.53
87223,0.36,0.55
8145,0.45,0.55
8179,0.38,0.57
87428,0.11,0.97
8202,0.45,0.46
8206,0.87,0.95
88976,0.45,0.53
8217,0.1,0.83
8224,0.44,0.54
8225,0.78,1
8238,0.38,0.56
8244,0.85,0.84
8245,0.36,0.48
8252,0.75,0.88
8255,0.81,0.81
89502,0.4,0.55
8259,0.83,0.83
8262,0.41,0.52
90157,0.42,0.57
